id,tweet_id,engagement,effective_length,polarity,subjectivity,average_engagement,common_words,common_ht_words,common_hts
162926902,1177613033348170000,103,79,0.0682,0.2500,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1177413885403500000,0,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1177386756372650000,0,56,0.0000,0.0000,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1177322757777950000,0,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1177320499560490000,0,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1177236534275260000,0,157,0.0000,0.0000,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1177031078202260000,1,246,0.0000,0.1111,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176998647067790000,0,97,0.3333,0.5000,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176976894039920000,1,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176976772849720000,266,131,0.0000,0.0000,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176975673363190000,1,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176955217725860000,0,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176954639243190000,1,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176954469491380000,0,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176953668035330000,5,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176953608987950000,0,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176953478050170000,0,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176953377223310000,2,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176953282109080000,2,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
