source,target
58648367,304120082
58648367,21679761
58648367,63541160
58648367,192584490
58648367,876948470
58648367,861928585
58648367,211679970
58648367,62694426
58648367,105269099
58648367,376967417
58648367,834856830677430272
240822201,4924567721
4924567721,98717917
4924567721,41704249
4924567721,370889025
4924567721,151922663
4924567721,338476223
4924567721,42274372
4924567721,63648503
4924567721,2970525617
4924567721,61115470
4924567721,129683990
4924567721,747891746512736256
4924567721,14885293
4924567721,174049509
4924567721,161084107
4924567721,847591188332990466
4924567721,208901797
4924567721,81629449
4924567721,458755731
4924567721,135321834
4924567721,1720868641
4924567721,69059849
4924567721,211679970
4924567721,823348278830002177
4924567721,63773715
4924567721,860563925800235008
4924567721,39955069
4924567721,736255287921889282
4924567721,59387254
4924567721,858010830079758336
4924567721,117873666
240822201,114918033
114918033,44433584
114918033,80929199
114918033,1927968055
114918033,316574246
114918033,373138480
114918033,1920140406
114918033,1001127206930862081
114918033,3294206560
114918033,41048726
114918033,3092609308
114918033,68961687
114918033,89528007
114918033,58956408
114918033,175488530
114918033,2253843594
114918033,339829146
114918033,165590781
114918033,15171377
114918033,948468678
114918033,573800821
114918033,251104300
114918033,1043550565035388928
114918033,94097582
114918033,3284817049
114918033,900395656732450816
114918033,102769344
114918033,933739074401251328
114918033,901853452376137728
114918033,80651703
114918033,1927838611
240822201,19236074
19236074,33949211
19236074,1969572817
19236074,20058795
19236074,119431745
19236074,29055849
19236074,847591188332990466
19236074,91831163
19236074,300815030
19236074,15695712
19236074,154263029
19236074,381725074
19236074,602853869
19236074,15404821
19236074,142454580
19236074,176931171
19236074,306248882
19236074,436127369
19236074,348116906
19236074,788866737676713984
19236074,260871480
19236074,3374091909
19236074,191116947
19236074,2769478040
19236074,1180020318
19236074,211940425
19236074,436061360
19236074,126672796
19236074,192414095
19236074,64839766
19236074,1686899533
240822201,722851538293501954
722851538293501954,761111202541948928
722851538293501954,57664761
722851538293501954,56385497
722851538293501954,175806207
722851538293501954,59976153
722851538293501954,1339789880
722851538293501954,465628233
722851538293501954,410228042
722851538293501954,168285907
722851538293501954,990316385925550081
722851538293501954,36352562
722851538293501954,129027166
722851538293501954,2328646824
722851538293501954,20801337
722851538293501954,74936691
722851538293501954,3246537749
722851538293501954,2375590921
722851538293501954,309876108
722851538293501954,113451138
722851538293501954,71543713
722851538293501954,975886502545772544
722851538293501954,117873666
722851538293501954,191116947
722851538293501954,933739074401251328
722851538293501954,158431451
722851538293501954,298105640
722851538293501954,628002248
722851538293501954,3300493816
722851538293501954,25185308
722851538293501954,163961519
240822201,179285561
179285561,703394216
179285561,139518091
179285561,92978851
179285561,933739074401251328
179285561,195476107
179285561,103288327
179285561,917180392091856896
179285561,115074931
179285561,456063053
179285561,770378969153671169
179285561,175488530
179285561,150327476
179285561,272720556
179285561,899995760
179285561,2497329002
179285561,3284817049
179285561,2938831635
179285561,3544845552
179285561,722851538293501954
179285561,974748966
179285561,3374091909
179285561,1897857392
179285561,747891746512736256
179285561,834856830677430272
179285561,2939615002
179285561,38670671
179285561,178563034
179285561,21952958
179285561,134938656
179285561,50494032
240822201,1012847731512168449
1012847731512168449,179285561
1012847731512168449,237795382
1012847731512168449,1969572817
1012847731512168449,139388858
1012847731512168449,166549341
1012847731512168449,497511506
1012847731512168449,105640257
1012847731512168449,60619634
1012847731512168449,958123904
1012847731512168449,56848949
1012847731512168449,164434425
1012847731512168449,122960146
1012847731512168449,242730842
1012847731512168449,61018481
1012847731512168449,126204564
1012847731512168449,79585327
1012847731512168449,67654599
1012847731512168449,40533752
1012847731512168449,622082899
1012847731512168449,18079284
1012847731512168449,14834302
1012847731512168449,9633802
1012847731512168449,35013719
1012847731512168449,60613480
1012847731512168449,17813487
1012847731512168449,117109734
1012847731512168449,19236074
1012847731512168449,20560294
1012847731512168449,34124487
1012847731512168449,36276135
240822201,805752104
805752104,298105640
805752104,143285665
805752104,102759477
805752104,159950603
805752104,974748966
805752104,3300493816
805752104,202644027
805752104,151624064
805752104,172822388
805752104,4484142381
805752104,1100930546
805752104,1879791901
805752104,36352562
805752104,70493521
805752104,2499219806
805752104,626592458
805752104,745370515372650496
805752104,242730842
805752104,40533752
805752104,622082899
805752104,14834302
805752104,20560294
805752104,17813487
805752104,35013719
805752104,19236074
805752104,168156777
805752104,324448788
805752104,2873771193
805752104,348116906
805752104,956896881635979270
240822201,68325126
68325126,244659783
68325126,58956408
68325126,883080230352691201
68325126,79585327
68325126,67654599
68325126,55379094
68325126,1001127206930862081
68325126,92855579
68325126,3300493816
68325126,106748209
68325126,74776409
68325126,38227815
68325126,917180392091856896
68325126,252134272
68325126,2939615002
68325126,19275255
68325126,244592074
68325126,108717093
68325126,423096569
68325126,805752104
68325126,17572957
68325126,12542002
68325126,243942097
68325126,175488530
68325126,69059849
68325126,36087400
68325126,61018481
68325126,18079284
68325126,156457945
240822201,136112883
136112883,3193116503
136112883,191465222
136112883,166956582
136112883,2939615002
136112883,206402786
136112883,178463022
136112883,201398373
136112883,1093617259589832704
136112883,1074297629323001857
136112883,128009878
136112883,20980846
136112883,12542002
136112883,39683468
136112883,933739074401251328
136112883,53170393
136112883,292072914
136112883,119431745
136112883,877236050397147136
136112883,1362851972
136112883,834856830677430272
136112883,990316385925550081
136112883,59459771
136112883,102769344
136112883,90197445
136112883,178563034
136112883,3092609308
136112883,382419827
136112883,351726568
136112883,2202387091
136112883,44946232
240822201,150327476
150327476,84078498
150327476,2938831635
150327476,722851538293501954
150327476,3544845552
150327476,3284817049
150327476,877236050397147136
150327476,179285561
150327476,1023792010455670784
150327476,13438282
150327476,116518454
150327476,747891746512736256
150327476,206402786
150327476,39955069
150327476,1012847731512168449
150327476,990316385925550081
150327476,53170393
150327476,39683468
150327476,102769344
150327476,847591188332990466
150327476,1686747194
150327476,915615485147910144
150327476,178463022
150327476,711790155531735040
150327476,18488699
150327476,59976153
150327476,174049509
150327476,80929199
150327476,89572355
150327476,64839766
150327476,382419827
240822201,352373166
352373166,382419827
352373166,423096569
352373166,19844693
352373166,1392792139
352373166,57174405
352373166,49681553
352373166,401717571
352373166,933739074401251328
352373166,2253843594
352373166,137908875
352373166,189165807
352373166,89452065
352373166,557962740
352373166,325775822
352373166,49145792
352373166,45986928
352373166,551983004
352373166,135321834
352373166,229548081
352373166,34814904
352373166,20980846
352373166,114577790
352373166,1180020318
352373166,4889381914
352373166,202644027
352373166,139777050
352373166,154263029
352373166,1003470033933217792
352373166,69059849
352373166,92978851
240822201,314889375
314889375,143578329
314889375,108977809
314889375,38670671
314889375,3193116503
314889375,62796429
314889375,383248517
314889375,61097151
314889375,34814904
314889375,158512860
314889375,3246537749
314889375,834856830677430272
314889375,25185308
314889375,930217548
314889375,127925615
314889375,286418059
314889375,375154678
314889375,594076162
314889375,860563925800235008
314889375,72601999
314889375,128009878
314889375,36087400
314889375,266675787
314889375,294774577
314889375,3100417523
314889375,134615013
314889375,130359251
314889375,184590625
314889375,2838220979
314889375,243942097
314889375,209789735
240822201,213771387
213771387,187267552
213771387,128342805
213771387,82448700
213771387,99561835
213771387,2499219806
213771387,222605890
213771387,243942097
213771387,237759006
213771387,847591188332990466
213771387,246967511
213771387,40680083
213771387,202644027
213771387,186572665
213771387,28641033
213771387,79483727
213771387,69400219
213771387,554543183
213771387,3427364500
213771387,208901797
213771387,1920140406
213771387,2970525617
213771387,626592458
213771387,189534765
213771387,348726976
213771387,150058141
213771387,823348278830002177
213771387,933739074401251328
213771387,56713266
213771387,192414095
213771387,161084107
240822201,98781946
98781946,41048726
98781946,382419827
98781946,2497329002
98781946,960943470390272006
98781946,1362851972
98781946,124355265
98781946,193533203
98781946,1466003185
98781946,232388741
98781946,373138480
98781946,768533872564895744
98781946,198984928
98781946,221989598
98781946,58956408
98781946,478892632
98781946,131596061
98781946,312887235
98781946,3374091909
98781946,1897857392
98781946,956896881635979270
98781946,847591188332990466
98781946,823348278830002177
98781946,1003470033933217792
98781946,101736223
98781946,516101547
98781946,303482958
98781946,825074170191032320
98781946,1733793840
98781946,458755731
98781946,838098877
240822201,66711542
66711542,240822201
66711542,768533872564895744
66711542,770378969153671169
66711542,476011253
66711542,568768561
66711542,1897857392
66711542,2499219806
66711542,286418059
66711542,497511506
66711542,592869404
66711542,217803304
66711542,147779959
66711542,1324417764
66711542,1115440213
66711542,185763733
66711542,1733793840
66711542,118920290
66711542,105931327
66711542,280799144
66711542,603847060
66711542,525889665
66711542,239529737
66711542,250149384
66711542,455338047
66711542,271551368
66711542,266296328
66711542,814267892
66711542,50494032
66711542,219750815
66711542,235307099
240822201,119431745
119431745,135321834
119431745,15930883
119431745,760314871
119431745,447400443
119431745,381725074
119431745,314889375
119431745,122495812
119431745,4923782098
119431745,97061870
119431745,20801337
119431745,226413599
119431745,52819651
119431745,20560294
119431745,376967417
